target,descriptor,model,cv_rmse,cv_cliff_rmse,test_rmse,test_cliff_rmse,cv_stratified
CHEMBL217,ECFP,KNN,0.6274278877226518,0.7169838182125128,0.5871685130437414,0.6829283034618316,True
CHEMBL217,MACCS,RF,0.6807432750445133,0.7654066972152902,0.6469712589227947,0.740154149970946,True
CHEMBL217,MACCS,SVM,0.6910022534722013,0.7787170744337768,0.6590084312950871,0.7537070059327778,True
CHEMBL217,MACCS,GBM,0.684573622829419,0.7684420004474599,0.6481098432440546,0.7357549503722174,True
CHEMBL217,MACCS,KNN,0.7397193891466626,0.8237147902390384,0.6926377178739052,0.8040811326495458,True
CHEMBL217,PHYSCHEM,RF,0.8391331000671767,0.8960259945740097,0.8111500262530045,0.896746565072462,True
CHEMBL217,PHYSCHEM,SVM,0.9191886630273106,0.983165595333356,0.8966369986818041,0.9645854697824476,True
CHEMBL217,PHYSCHEM,GBM,0.8467968881949504,0.9087723129970936,0.8264864026441429,0.9080067430747067,True
CHEMBL217,PHYSCHEM,KNN,0.87983593485541,0.9420154872021692,0.8464262227252954,0.9243421016953276,True
CHEMBL217,WHIM,RF,0.938851812180969,1.0095681526415303,0.9360493482219512,1.0102728327701551,True
CHEMBL217,WHIM,SVM,0.9604830616277482,1.0415760472421312,0.9744698052628762,1.0633189422359852,True
CHEMBL217,WHIM,GBM,0.9623000945899576,1.026213475270651,0.9592766039438798,1.0287984712293992,True
CHEMBL217,WHIM,KNN,0.9730219579741564,1.0411706255516535,0.970995902834289,1.0589788226564572,True
CHEMBL2276,ECFP,RF,0.6981619914595819,0.6877954520823457,0.7666602101481418,1.0672519859123326,True
CHEMBL2276,ECFP,SVM,0.6919790360892784,0.7138231633862704,0.7731862160468325,0.966994140917678,True
CHEMBL2276,ECFP,GBM,0.7410015295488418,0.7664083141180665,0.8522680942434482,0.9806034283989352,True
CHEMBL2276,ECFP,KNN,0.7845857932672295,0.7422716779583582,0.8890643641516626,0.8218354714023312,True
CHEMBL2276,MACCS,RF,0.7244757080100452,0.7344485158618245,0.82041160559454,1.152361580150176,True
CHEMBL2276,MACCS,SVM,0.7673574082945812,0.8398232478436815,0.8246233474759942,1.0843249011703948,True
CHEMBL2276,MACCS,GBM,0.7438633432529107,0.8260752626372612,0.8140360103413017,1.2361935448448402,True
CHEMBL2276,MACCS,KNN,0.8379892717875538,0.8439097965328262,0.9480850341113056,1.0065951956407475,True
CHEMBL2276,PHYSCHEM,RF,0.7426183767320526,0.8275381663526905,0.7655665820665881,0.874486994516717,True
CHEMBL2276,PHYSCHEM,SVM,0.794450448007217,0.8156068786048699,0.9010426111993768,1.1445118317274456,True
CHEMBL2276,PHYSCHEM,GBM,0.7833181421028083,0.8077971122333588,0.7549814672542124,0.7764593811038139,True
CHEMBL2276,PHYSCHEM,KNN,0.687043688388083,0.755602746691336,0.8163686628158598,0.90333226390646,True
CHEMBL2276,WHIM,RF,0.7907222869374629,0.8506888885913438,0.8226648835639883,0.8701971221107033,True
CHEMBL2276,WHIM,SVM,0.8129256927038067,0.888861520915267,0.8835245702456077,0.9480962985499516,True
CHEMBL2276,WHIM,GBM,0.7977827113986187,0.8425093221474282,0.8417706518165267,0.8526916164993432,True
CHEMBL2276,WHIM,KNN,0.7897733349429338,0.8466125201357447,0.8555395764498912,0.7706513914725011,True
CHEMBL261,ECFP,RF,0.6597771492076833,0.7509326154892052,0.6452774177155904,0.725823413516626,True
CHEMBL261,ECFP,SVM,0.6513190435278948,0.7471712171669602,0.6446450349322503,0.7299798346680161,True
CHEMBL261,ECFP,GBM,0.6809171172242842,0.7693403870798853,0.6759847246677891,0.7504600752608583,True
CHEMBL261,ECFP,KNN,0.6779373748909644,0.7782154780513288,0.671916261356679,0.7736078214129057,True
CHEMBL261,MACCS,RF,0.6552861129077547,0.7593230190223635,0.6522303133945654,0.7480934032550024,True
CHEMBL261,MACCS,SVM,0.6808330437980092,0.7950578088976162,0.6734814916850499,0.7764487673957833,True
CHEMBL261,MACCS,GBM,0.6640877173999523,0.7706829264573917,0.6443950674113894,0.7439034584059951,True
