smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag,CuratedSmiles,IsSalt,FailedSanit,Neutralized
COc1ccccc1N1C(=S)S\C(=C/c2ccc(OCC(=O)Nc3ccc(cc3)C(O)=O)cc2)C1=O,Ki, 10000,nM,50429723,,,False,COc1ccccc1N1C(=O)/C(=C/c2ccc(OCC(=O)Nc3ccc(C(=O)O)cc3)cc2)SC1=S,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c(c3)[N+]([O-])=O)c2c1)-c1ccc(cc1)-c1ccccc1,Ki,>10000,nM,50841371,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(NCCSc3ccccc3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(-c2ccccc2)cc1,False,False,False
OC(=O)c1ccc(COc2cccc(\C=C3/SC(=S)N(C3=O)c3ccc(cc3)[N+]([O-])=O)c2)cc1,Ki,>10000,nM,50429725,,,False,O=C(O)c1ccc(COc2cccc(/C=C3\SC(=S)N(c4ccc([N+](=O)[O-])cc4)C3=O)c2)cc1,False,False,False
OC(=O)c1ccc(COc2ccc(\C=C3/SC(=S)N(C3=O)c3ccc(cc3)[N+]([O-])=O)cc2)cc1,Ki,>10000,nM,50429724,,,False,O=C(O)c1ccc(COc2ccc(/C=C3\SC(=S)N(c4ccc([N+](=O)[O-])cc4)C3=O)cc2)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(N4CCOCC4)c(c3)[N+]([O-])=O)c2c1)-c1ccc(cc1)-c1ccccc1,Ki,>10000,nM,50841369,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(N3CCOCC3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(-c2ccccc2)cc1,False,False,False
OC(=O)c1ccc(NC(=O)COc2ccc(\C=C3/SC(=S)N(C3=O)c3ccc(cc3)[N+]([O-])=O)cc2)cc1,Ki,>10000,nM,50429726,,,False,O=C(COc1ccc(/C=C2\SC(=S)N(c3ccc([N+](=O)[O-])cc3)C2=O)cc1)Nc1ccc(C(=O)O)cc1,False,False,False
Cc1cccc(c1)N1C(=S)S\C(=C/c2ccc(OCc3ccc(cc3)C(O)=O)cc2)C1=O,Ki,>10000,nM,50429729,,,False,Cc1cccc(N2C(=O)/C(=C/c3ccc(OCc4ccc(C(=O)O)cc4)cc3)SC2=S)c1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(NCc4ccccc4)c(c3)[N+]([O-])=O)c2c1)-c1ccc(C)cc1,Ki,>10000,nM,50841382,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(NCc3ccccc3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(C)cc1,False,False,False
OC(=O)c1cccc(NC(=O)c2ccc(\C=C3/SC(=S)N(C3=O)c3ccc(cc3)[N+]([O-])=O)cc2)c1O,Ki,>10000,nM,50429728,,,False,O=C(Nc1cccc(C(=O)O)c1O)c1ccc(/C=C2\SC(=S)N(c3ccc([N+](=O)[O-])cc3)C2=O)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccccc3)c2c1)-c1ccc(cc1)-c1ccccc1,Ki,>10000,nM,50841381,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccccc1)c(C)n2-c1ccc(-c2ccccc2)cc1,False,False,False
Cc1ccc(cc1)N1C(=S)S\C(=C/c2ccc(OCc3ccc(cc3)C(O)=O)cc2)C1=O,Ki,>10000,nM,50429731,,,False,Cc1ccc(N2C(=O)/C(=C/c3ccc(OCc4ccc(C(=O)O)cc4)cc3)SC2=S)cc1,False,False,False
Cc1cccc(c1)N1C(=S)S\C(=C/c2ccc(OCC(=O)Nc3ccc(cc3)C(O)=O)cc2)C1=O,Ki,>10000,nM,50429730,,,False,Cc1cccc(N2C(=O)/C(=C/c3ccc(OCC(=O)Nc4ccc(C(=O)O)cc4)cc3)SC2=S)c1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(NC4CCCCC4)c(c3)[N+]([O-])=O)c2c1)-c1ccc(cc1)-c1ccccc1,Ki,>10000,nM,50841379,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(NC3CCCCC3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(-c2ccccc2)cc1,False,False,False
Cc1cc(OCCCc2c(C(O)=O)n(C)c3cc(Cl)ccc23)cc(C)c1Cl,Ki,>10000,nM,1319474,,,False,Cc1cc(OCCCc2c(C(=O)O)n(C)c3cc(Cl)ccc23)cc(C)c1Cl,False,False,False
CC(C)Oc1ccc(cc1)C(=O)Nc1c(nn(c1-c1ccc(OCc2ccccc2)cc1)-c1ccc(cc1)C(C)C)C(O)=O,Ki,>10000,nM,51218855,,,False,CC(C)Oc1ccc(C(=O)Nc2c(C(=O)O)nn(-c3ccc(C(C)C)cc3)c2-c2ccc(OCc3ccccc3)cc2)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(cc3)[N+]([O-])=O)c2c1)-c1ccc(C)cc1,Ki,>10000,nM,50841387,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c(C)n2-c1ccc(C)cc1,False,False,False
COc1ccc(cc1)S(=O)(=O)NC(=O)Cc1c(C)n(-c2ccc(C)cc2)c2ccc(OC)cc12,Ki,>10000,nM,50841385,,,False,COc1ccc(S(=O)(=O)NC(=O)Cc2c(C)n(-c3ccc(C)cc3)c3ccc(OC)cc23)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(N4CCN(C)CC4)c(c3)[N+]([O-])=O)c2c1)-c1ccc(C)cc1,Ki,>10000,nM,50841384,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(N3CCN(C)CC3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(C)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(Cl)c(c3)[N+]([O-])=O)c2c1)-c1ccc(C)cc1,Ki,>10000,nM,50841399,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c(C)n2-c1ccc(C)cc1,False,False,False
COc1ccc2n(c(C)c(CC(=O)NS(=O)(=O)c3ccc(N4CCOCC4)c(c3)[N+]([O-])=O)c2c1)-c1ccc(C)cc1,Ki,>10000,nM,50841398,,,False,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(N3CCOCC3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(C)cc1,False,False,False
