smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag
CC1(C)CC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4COCCO4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)CO1)c1ccc(Cl)cc1,Ki,<0.010,nM,1372762,,,False
CC1(C)CC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4COCCO4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)CO1)c1ccc(Cl)cc1,Ki,<0.010,nM,1372763,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H]4CC[C@@H](CC4)N4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.010,nM,1372740,,,False
COCCNc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cnc2[nH]ccc2c1)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1,Ki,<0.010,nM,1372741,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4COCCO4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.010,nM,1372743,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.010,nM,1372736,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC[C@H]4CCCOC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.010,nM,1372744,,,False
CC1(C)CC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)CO1)c1ccc(Cl)cc1,Ki,<0.010,nM,1372746,,,False
COCCOCCS(=O)(=O)c1ccc(cc1Cl)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cnc2[nH]ccc2c1)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1,Ki,<0.010,nM,1372789,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(O[C@H]4CC[C@@H](CC4)N4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.010,nM,1372791,,,False
