BindingDB_ID,smiles,value,standard_type,pIC50,CuratedSmiles,IsSalt,FailedSanit
50036117,CC12CCC3C(C1CCC2=O)C(=O)C=C1CCCCC31C,1800.0,IC50(nM),5.7447274948966935,CC12CCC3C(C(=O)C=C4CCCCC43C)C1CCC2=O,False,False
50036128,CC12CCC3C(CC=C4CCCCC34C)C1C[C@@H](Br)C2=O,55000.0,IC50(nM),4.259637310505756,CC12CCC3C(CC=C4CCCCC43C)C1C[C@@H](Br)C2=O,False,False
50036111,CC12CCC3C4CCCCC4=CC(=O)C3C1CCC2=O,28000.0,IC50(nM),4.552841968657781,CC12CCC3C4CCCCC4=CC(=O)C3C1CCC2=O,False,False
50036112,CC12CCC3C(CC=C4CCCCC34C=O)C1CCC2=O,9000.0,IC50(nM),5.045757490560675,CC12CCC3C(CC=C4CCCCC43C=O)C1CCC2=O,False,False
50036114,CC12CCC3C(CC=C4C=CCCC34C)C1CCC2=O,340.0,IC50(nM),6.468521082957745,CC12CCC3C(CC=C4C=CCCC43C)C1CCC2=O,False,False
50036110,CC12CCC3C(C1CCC2=O)C(=O)C=C1C=CCCC31C=O,11000.0,IC50(nM),4.958607314841775,CC12CCC3C(C(=O)C=C4C=CCCC43C=O)C1CCC2=O,False,False
50036126,CC12CCC3C(C1CCC2=O)C(=O)C=C1CCCCC31C=O,60000.0,IC50(nM),4.221848749616356,CC12CCC3C(C(=O)C=C4CCCCC43C=O)C1CCC2=O,False,False
50036109,CC12CCC3C4CCC=CC4=CC(=O)C3C1CCC2=O,33000.0,IC50(nM),4.481486060122113,CC12CCC3C4CCC=CC4=CC(=O)C3C1CCC2=O,False,False
50036121,CC12CCC3C(C1CCC2=O)C(=O)C=C1C=CCCC31C,1800.0,IC50(nM),5.7447274948966935,CC12CCC3C(C(=O)C=C4C=CCCC43C)C1CCC2=O,False,False
50036113,CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2=O,1200.0,IC50(nM),5.920818753952375,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2=O,False,False
