smiles,standard_type,mean,std,sem,n,n_outliers,BindingDB_IDs
CC(=O)Nc1ccc(cc1Cl)S(N)(=O)=O,Ki (nM),196.0,0.0,0.0,1,0,20737
CC(=O)Nc1ccc(cc1F)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki (nM),79.0,0.0,0.0,1,0,20756
CC(=O)Nc1ccc(cc1F)S(N)(=O)=O,Ki (nM),213.0,0.0,0.0,1,0,20736
CC(=O)Nc1ccc(cc1I)S(N)(=O)=O,Ki (nM),209.0,0.0,0.0,1,0,20739
CC(=O)Nc1ccc2OS(=O)(=O)C=Cc2c1,Ki (nM),17.0,0.0,0.0,1,0,50337577
CC(=O)Nc1ccc2c(C)cc(=O)oc2c1,Ki (nM),390.0,0.0,0.0,1,0,50722354
CC(=O)Nc1ccc2c(c1)C(=O)NS2(=O)=O,Ki (nM),30.0,0.0,0.0,2,0,51313107;51313132
CC(=O)Nc1ccc2oc(=O)c3c(C)nn(-c4ccccc4)c3c2c1,Ki (nM),27.0,0.0,0.0,1,0,51030696
CC(=O)Nc1nnc(S)s1,Ki (nM),9500.0,0.0,0.0,1,0,50305744
CC(=O)Nc1nnc(s1)S(=O)(=O)N,Ki (nM),25.0,0.0,0.0,11,1,180672;18952;19027;199253;20730;21963;23511;27882;46798;59471;59540
CC(=O)Nc1nnc(s1)S(N)(=O)=O,Ki (nM),204.44057692307692,2017.4184112930127,114.21382676837771,312,0,417518;50076126;50086320;50093957;50105453;50111389;50240147;50241189;50243659;50245650;50248938;50251248;50252211;50254249;50258886;50278196;50279604;50284232;50291380;50301930;50302189;50302462;50305138;50305751;50305876;50308612;50308661;50314605;50321150;50321710;50327548;50337590;50350132;50351947;50352437;50358165;50365637;50383279;50385602;50386672;50390064;50396888;50398475;50404250;50404943;50408340;50425231;50425580;50434695;50439036;50439745;50442697;50445655;50462241;50462960;50463139;50463387;50467457;50467998;50468691;50497247;50498988;50499612;50501458;50502561;50503041;50506632;50513132;50523694;50539735;50539736;50542396;50543245;50551204;50582115;50589120;50597374;50629627;50641618;50645953;50652840;50655975;50659611;50663318;50663474;50676107;50678429;50697631;50708728;50722085;50725562;50738416;50740264;50740799;50740842;50741432;50741935;50742870;50742980;50746544;50754670;50760782;50767519;50767885;50777937;50787882;50794112;50797083;50812054;50822731;50823113;50823423;50823988;50824423;50824671;50824933;50831063;50832986;50834455;50835378;50836333;50842508;50844585;50845368;50847597;50848995;50851955;50857341;50861608;50866573;50868836;50879872;50881152;50903358;50904116;50908676;50909467;50910925;50913675;50913730;50915899;50916383;50918326;50932870;50943131;50952107;50964304;50970565;50988895;50989376;50995063;50995757;51018323;51030944;51045583;51045975;51050256;51051611;51052427;51059684;51097261;51097383;51098734;51099844;51100684;51101526;51102290;51115647;51117824;51118498;51118547;51121513;51127396;51135547;51138789;51141737;51141814;51143696;51144591;51145028;51194590;51195983;51196806;51197034;51197516;51197691;51199051;51199527;51200578;51201348;51203079;51203223;51203828;51203867;51204519;51205677;51205770;51207122;51207353;51208061;51208167;51208364;51216850;51218470;51218563;51223146;51228752;51228924;51229790;51230121;51241306;51243317;51246971;51255539;51256656;51259204;51261252;51261852;51262007;51262673;51266037;51266098;51271919;51273508;51276264;51283121;51286507;51291439;51295869;51309668;51312515;51312521;51320905;51323174;51331274;51333749;51335621;51335769;51335996;51336169;51340167;51346860;51354013;51362146;51363088;51363473;51365155;51365736;51365809;51374185;51375208;51376691;51377244;51378830;51383501;51386062;51391418;51393120;51394859;51396507;51398274;51402839;51403842;51404863;51404992;51406131;51406772;51408988;51409406;51413490;51417786;51420034;51421344;51432297;51434084;51435971;51442980;51443092;51443304;51446267;51449636;51459008;51459264;51459699;51461640;51465358;51466892;51476488;51476572;51480015;51480679;51487558;51498449;51507591;51515036;51520597;51524058;51530288;51530434;51530872;51532800;51543860;51544787;51545659;51547961;51553345;51553839;51562324;51564148;51564790;51574640;51576333
CC(=O)OC[C@@H]1O[C@@H](OC(C)=O)[C@@H](NC(=O)Nc2cc(cc(c2O)[N+]([O-])=O)S(N)(=O)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,Ki (nM),290.0,0.0,0.0,1,0,51138788
CC(=O)OC[C@@H]1O[C@@H](OCc2cn(nn2)-c2ccc(cc2)S(N)(=O)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,Ki (nM),9.7,0.0,0.0,1,0,51230187
